head_id,tail_id,label
DB00006,DB13821,1
DB00007,DB13821,1
DB00014,DB13821,1
DB00035,DB13821,1
DB00080,DB13821,1
DB00104,DB00328,1
DB00115,DB13821,1
DB00118,DB06770,1
DB00120,DB08880,1
DB00122,DB01004,1
DB00126,DB12235,1
DB00130,DB00581,1
DB00134,DB01235,1
DB00135,DB01235,1
DB00136,DB00682,1
DB00140,DB00328,1
DB00142,DB00852,1
DB00145,DB13401,1
DB00146,DB14652,1
DB00150,DB00682,1
DB00153,DB14652,1
DB00155,DB08880,1
DB00158,DB13821,1
DB00162,DB12474,1
DB00163,DB00682,1
DB00165,DB13821,1
DB00168,DB00328,1
DB00169,DB08953,1
DB00173,DB01076,1
DB00175,DB08880,1
DB00177,DB08880,1
DB00179,DB06770,1
DB00180,DB01873,1
DB00181,DB00682,1
DB00186,DB00682,1
DB00188,DB08880,1
DB00189,DB08953,1
DB00190,DB13821,1
DB00193,DB00682,1
DB00194,DB00437,1
DB00196,DB00682,1
DB00197,DB06786,1
DB00198,DB13821,1
DB00199,DB08880,1
DB00203,DB00328,1
DB00204,DB01873,1
DB00205,DB01076,1
DB00206,DB00682,1
DB00207,DB01873,1
DB00209,DB08953,1
DB00210,DB00936,1
DB00211,DB00328,1
DB00212,DB00328,1
DB00213,DB13821,1
DB00214,DB08880,1
DB00216,DB00682,1
DB00218,DB00328,1
DB00219,DB08953,1
DB00220,DB08880,1
DB00221,DB00328,1
DB00222,DB00328,1
DB00224,DB00328,1
DB00226,DB00328,1
DB00227,DB01873,1
DB00229,DB13821,1
DB00230,DB00682,1
DB00231,DB00682,1
DB00232,DB00682,1
DB00233,DB00328,1
DB00235,DB13821,1
DB00238,DB00328,1
DB00240,DB12095,1
DB00242,DB08880,1
DB00243,DB00682,1
DB00244,DB08880,1
DB00246,DB00682,1
DB00247,DB00682,1
DB00248,DB00682,1
DB00252,DB08880,1
DB00253,DB12095,1
DB00254,DB13821,1
DB00256,DB09275,1
DB00260,DB14055,1
DB00261,DB08880,1
DB00262,DB08880,1
DB00263,DB06786,1
DB00266,DB08880,1
DB00267,DB13821,1
DB00268,DB08880,1
DB00271,DB13821,1
DB00273,DB01194,1
DB00274,DB13821,1
DB00276,DB08880,1
DB00277,DB01873,1
DB00278,DB13821,1
DB00279,DB08880,1
DB00280,DB08880,1
DB00281,DB08880,1
DB00282,DB13821,1
DB00284,DB00328,1
DB00285,DB08880,1
DB00287,DB00328,1
DB00288,DB12095,1
DB00290,DB13821,1
DB00291,DB08880,1
DB00293,DB08880,1
DB00294,DB13821,1
DB00295,DB08880,1
DB00296,DB08880,1
DB00297,DB12095,1
DB00299,DB08880,1
DB00300,DB13821,1
DB00301,DB00328,1
DB00302,DB06266,1
DB00303,DB13821,1
DB00304,DB00328,1
DB00305,DB08880,1
DB00308,DB13821,1
DB00309,DB01873,1
DB00310,DB00682,1
DB00314,DB13821,1
DB00315,DB08880,1
DB00316,DB08880,1
DB00317,DB08880,1
DB00319,DB13821,1
DB00320,DB00682,1
DB00322,DB08880,1
DB00323,DB00682,1
DB00324,DB08880,1
DB00326,DB00537,1
DB00327,DB00682,1
DB00328,DB08880,1
DB00330,DB13821,1
DB00332,DB08953,1
DB00333,DB00682,1
DB00334,DB08880,1
DB00337,DB08880,1
DB00338,DB08880,1
DB00339,DB13821,1
DB00341,DB00682,1
DB00342,DB00682,1
DB00343,DB08880,1
DB00345,DB01076,1
DB00346,DB01873,1
DB00349,DB00682,1
DB00328,DB00350,1
DB00351,DB00682,1
DB00352,DB08880,1
DB00353,DB01873,1
DB00355,DB13821,1
DB00356,DB08880,1
DB00357,DB00682,1
DB00358,DB00682,1
DB00359,DB08880,1
DB00080,DB00360,1
DB00361,DB01873,1
DB00362,DB03410,1
DB00363,DB08880,1
DB00364,DB13821,1
DB00365,DB08880,1
DB00367,DB00682,1
DB00369,DB13821,1
DB00374,DB08880,1
DB00376,DB08953,1
DB00380,DB13821,1
DB00383,DB08953,1
DB00384,DB08880,1
DB00387,DB08953,1
DB00328,DB00388,1
DB00390,DB08880,1
DB00391,DB00682,1
DB00394,DB08880,1
DB00396,DB08880,1
DB00328,DB00397,1
DB00398,DB08880,1
DB00399,DB13821,1
DB00400,DB14055,1
DB00402,DB08880,1
DB00404,DB00682,1
DB00409,DB08953,1
DB00410,DB06770,1
DB00412,DB08880,1
DB00413,DB00682,1
DB00328,DB00414,1
DB00415,DB13821,1
DB00416,DB08953,1
DB00417,DB14055,1
DB00421,DB00682,1
DB00423,DB08953,1
DB00424,DB14719,1
DB00428,DB08880,1
DB00429,DB12708,1
DB00430,DB13821,1
DB00432,DB13821,1
DB00436,DB00682,1
DB00437,DB13821,1
DB00438,DB13821,1
DB00439,DB08880,1
DB00440,DB00682,1
DB00441,DB08880,1
DB00442,DB08880,1
DB00443,DB08880,1
DB00444,DB08880,1
DB00445,DB08880,1
DB00446,DB08880,1
DB00447,DB13821,1
DB00448,DB08880,1
DB00449,DB01021,1
DB00450,DB09275,1
DB00328,DB00451,1
DB00452,DB13821,1
DB00453,DB09275,1
DB00456,DB13821,1
DB00459,DB12474,1
DB00461,DB08880,1
DB00462,DB08953,1
DB00465,DB08880,1
DB00328,DB00467,1
DB00468,DB08880,1
DB00469,DB00682,1
DB00470,DB00682,1
DB00471,DB08880,1
DB00475,DB08953,1
DB00479,DB13821,1
DB00480,DB13821,1
DB00481,DB08880,1
DB00482,DB08880,1
DB00485,DB00682,1
DB00486,DB00682,1
DB00328,DB00487,1
DB00328,DB00491,1
DB00493,DB13821,1
DB00494,DB08953,1
DB00495,DB08880,1
DB00496,DB12095,1
DB00497,DB12095,1
DB00498,DB08880,1
DB00499,DB13821,1
DB00500,DB00682,1
DB00501,DB08880,1
DB00502,DB08880,1
DB00503,DB08880,1
DB00504,DB09049,1
DB00505,DB08953,1
DB00511,DB01873,1
DB00512,DB13821,1
DB00518,DB01873,1
DB00521,DB00825,1
DB00524,DB00682,1
DB00527,DB14719,1
DB00530,DB08880,1
DB00531,DB08880,1
DB00532,DB08880,1
DB00533,DB08880,1
DB00535,DB13821,1
DB00537,DB00682,1
DB00541,DB01873,1
DB00544,DB08880,1
DB00546,DB00682,1
DB00547,DB08880,1
DB00328,DB00549,1
DB00550,DB08880,1
DB00551,DB00898,1
DB00552,DB13821,1
DB00554,DB08880,1
DB00555,DB00682,1
DB00557,DB12095,1
DB00558,DB13821,1
DB00559,DB08880,1
DB00560,DB13686,1
DB00562,DB00682,1
DB00563,DB08880,1
DB00564,DB08880,1
DB00565,DB14719,1
DB00567,DB08880,1
DB00570,DB08880,1
DB00572,DB14719,1
DB00573,DB00682,1
DB00328,DB00576,1
DB00577,DB13821,1
DB00578,DB14055,1
DB00579,DB00682,1
DB00580,DB00682,1
DB00581,DB01873,1
DB00582,DB00682,1
DB00583,DB13821,1
DB00586,DB08880,1
DB00588,DB08880,1
DB00589,DB00682,1
DB00590,DB00682,1
DB00591,DB08880,1
DB00593,DB12095,1
DB00595,DB08880,1
DB00597,DB13821,1
DB00599,DB00682,1
DB00601,DB08880,1
DB00603,DB00682,1
DB00604,DB08880,1
DB00605,DB00682,1
DB00606,DB00682,1
DB00328,DB00607,1
DB00609,DB14055,1
DB00328,DB00610,1
DB00613,DB08880,1
DB00615,DB00682,1
DB00328,DB00616,1
DB00618,DB09275,1
DB00619,DB08880,1
DB00620,DB08880,1
DB00623,DB08953,1
DB00624,DB08880,1
DB00625,DB08880,1
DB00626,DB13821,1
DB00627,DB00682,1
DB00628,DB00682,1
DB00630,DB13821,1
DB00631,DB08880,1
DB00633,DB00682,1
DB00635,DB08880,1
